Algorithm,CV Score (mean),CV Std,Test Accuracy,Test F1,Test Precision,Test Recall,Test AUC,Time (s)
XGBoost,0.744,0.0416,0.7208,0.7141,0.7126,0.7208,0.79,0.9
KNN,0.7372,0.0408,0.7143,0.71,0.7081,0.7143,0.7419,0.08
LightGBM,0.7445,0.0426,0.7143,0.7084,0.7065,0.7143,0.778,3.54
SVM,0.7775,0.0352,0.7143,0.7065,0.7051,0.7143,0.7613,0.15
Random Forest,0.7618,0.0369,0.7078,0.7008,0.6989,0.7078,0.7817,2.06
Logistic Regression,0.7821,0.0483,0.6818,0.6742,0.6714,0.6818,0.7883,2.13
Random Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logistic Regression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
